                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5581,                 2.0053,                 1.8617,                0.05619,                0.22754,                0.03078,                0.00816,                  2.905,                  28.25,                 4.0235,             0.00066125,             0.00066125,             0.00066125
                      2,                 1.8533,                 2.2203,                 2.0914,                0.20781,                0.20659,                0.12261,                0.03342,                 2.6718,                 5.6825,                 3.4203,              0.0013213,              0.0013213,              0.0013213
                      3,                 1.8523,                 2.2728,                 2.0868,                0.17487,                0.28743,                0.10534,                0.03156,                 2.6743,                 4.1666,                 3.2859,              0.0019748,              0.0019748,              0.0019748
                      4,                 1.7606,                 2.1336,                 2.0072,                0.31446,                0.36228,                0.27219,                0.09982,                 2.1559,                 2.6853,                 2.7652,              0.0019703,              0.0019703,              0.0019703
                      5,                 1.6643,                 2.0545,                  1.936,                0.54131,                0.42814,                0.41798,                0.19535,                 2.0205,                 2.3573,                 2.6023,              0.0019604,              0.0019604,              0.0019604
                      6,                 1.6387,                 1.9943,                  1.911,                  0.577,                0.53093,                0.50179,                0.24584,                 1.7863,                 2.1526,                 2.2742,              0.0019505,              0.0019505,              0.0019505
                      7,                 1.5951,                 1.9473,                 1.8736,                0.58013,                0.52096,                0.51399,                0.27176,                 1.8401,                 1.9477,                 2.2538,              0.0019406,              0.0019406,              0.0019406
                      8,                 1.5532,                 1.8716,                 1.8426,                0.61357,                    0.5,                0.53947,                0.29972,                 1.6846,                 1.8769,                 2.1387,              0.0019307,              0.0019307,              0.0019307
                      9,                 1.5428,                 1.8327,                 1.8243,                0.68706,                0.56886,                0.61338,                0.33905,                 1.6966,                 1.6963,                 2.1069,              0.0019208,              0.0019208,              0.0019208
                     10,                 1.5327,                 1.8151,                 1.8192,                0.66984,                0.50898,                 0.5652,                0.29113,                 1.6745,                 1.7762,                  2.099,              0.0019109,              0.0019109,              0.0019109
                     11,                 1.4755,                 1.7556,                 1.7766,                0.58349,                0.51796,                0.53701,                0.28748,                 1.7436,                 1.8798,                 2.1282,               0.001901,               0.001901,               0.001901
                     12,                 1.4735,                 1.7393,                 1.7758,                0.65092,                0.62874,                0.64011,                0.34639,                 1.6122,                 1.5791,                 2.0255,              0.0018911,              0.0018911,              0.0018911
                     13,                  1.463,                 1.7062,                 1.7727,                 0.7092,                0.61677,                0.66908,                0.37911,                 1.5673,                 1.6593,                 1.9953,              0.0018812,              0.0018812,              0.0018812
