                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7472,                 2.8811,                 2.0334,                0.08324,                0.12188,                0.03422,                0.00927,                 2.8595,                 15.224,                 3.9569,             0.00054698,             0.00054698,             0.00054698
                      2,                 2.0507,                 2.7946,                 2.2609,                0.01131,                0.09375,                0.00762,                0.00259,                 2.9017,                 31.779,                 4.2181,              0.0010972,              0.0010972,              0.0010972
                      3,                 2.0767,                 2.8979,                 2.3204,                0.01685,                0.19062,                0.01133,                0.00271,                  2.977,                 4.6045,                 4.1314,              0.0016419,              0.0016419,              0.0016419
                      4,                 2.0061,                 2.9349,                 2.2766,                0.52077,                 0.0625,                0.01253,                0.00321,                 3.1546,                 5.9809,                 3.8916,              0.0016422,              0.0016422,              0.0016422
                      5,                 1.9785,                 2.8765,                  2.224,                0.07007,                0.28125,                0.04811,                  0.013,                   2.37,                 4.7078,                 3.1989,               0.001634,               0.001634,               0.001634
                      6,                 1.8787,                  2.816,                 2.1503,                0.08585,                0.21117,                0.05795,                0.01637,                 2.5452,                 3.8617,                 3.1428,              0.0016257,              0.0016257,              0.0016257
                      7,                 1.8515,                 2.6869,                 2.0882,                0.14328,                0.17917,                0.08683,                0.02652,                 2.3693,                 3.4456,                  3.128,              0.0016175,              0.0016175,              0.0016175
                      8,                 1.8498,                 2.6904,                 2.1209,                0.08192,                0.08646,                0.04512,                0.00944,                 2.8201,                 4.0148,                 3.4605,              0.0016092,              0.0016092,              0.0016092
                      9,                 1.8159,                 2.6188,                 2.0806,                0.44364,                0.26875,                0.26039,                0.08875,                 2.1238,                 2.8504,                 2.7402,               0.001601,               0.001601,               0.001601
                     10,                 1.7947,                  2.558,                 2.0526,                0.37818,                0.34687,                0.28276,                0.12181,                 2.0563,                 2.5833,                 2.6186,              0.0015927,              0.0015927,              0.0015927
                     11,                 1.7309,                 2.4685,                 2.0097,                0.49301,                0.27083,                0.23456,                 0.0939,                 2.0228,                 2.5316,                 2.7073,              0.0015845,              0.0015845,              0.0015845
                     12,                 1.7715,                 2.4683,                  2.023,                0.26089,                0.28333,                0.21504,                0.08515,                 2.2071,                 2.6108,                 2.7237,              0.0015762,              0.0015762,              0.0015762
                     13,                 1.7608,                 2.4193,                 2.0071,                0.39733,                0.38646,                0.32623,                0.11212,                 2.0819,                 2.3685,                 2.5983,               0.001568,               0.001568,               0.001568
                     14,                 1.7118,                 2.4203,                 1.9822,                0.68021,                0.24583,                0.27035,                0.11171,                 2.1115,                 2.6192,                 2.7334,              0.0015597,              0.0015597,              0.0015597
                     15,                 1.7097,                  2.343,                 1.9649,                0.37339,                0.38438,                  0.336,                0.12848,                 2.1151,                 2.3389,                 2.6628,              0.0015515,              0.0015515,              0.0015515
                     16,                 1.7092,                  2.367,                 1.9565,                 0.4048,                0.26667,                0.28087,                0.13006,                 2.0041,                 2.4018,                 2.5218,              0.0015432,              0.0015432,              0.0015432
                     17,                 1.6283,                 2.2428,                 1.9024,                0.43584,                0.40625,                0.36593,                0.16697,                 1.8989,                 2.1682,                 2.5156,               0.001535,               0.001535,               0.001535
                     18,                 1.6581,                 2.2955,                 1.9567,                0.39741,                0.38333,                  0.356,                0.16057,                  1.856,                 2.1819,                 2.3908,              0.0015267,              0.0015267,              0.0015267
                     19,                 1.6157,                 2.2065,                 1.9007,                0.50579,                0.36667,                0.37873,                0.18091,                 1.8739,                 2.2447,                 2.4177,              0.0015185,              0.0015185,              0.0015185
