                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4597,                 3.1674,                 1.8305,                 0.5246,                0.22984,                0.19062,                0.08097,                 1.9432,                 5.9286,                 2.8333,              0.0003657,              0.0003657,              0.0003657
                      2,                 1.6979,                  2.859,                 1.9942,                0.06173,                0.09664,                0.02086,                 0.0056,                 2.5194,                 7.2452,                 3.5006,             0.00073239,             0.00073239,             0.00073239
                      3,                 1.8097,                 2.9745,                 2.1127,                0.25223,                 0.0406,                0.01524,                0.00392,                 2.9553,                 8.3869,                 3.7134,              0.0010954,              0.0010954,              0.0010954
                      4,                 1.8084,                 3.0044,                 2.1092,                0.53958,                0.08214,                0.08265,                0.02465,                 2.4198,                 5.2263,                 3.1766,              0.0010945,              0.0010945,              0.0010945
                      5,                  1.792,                 2.9056,                  2.052,                0.07658,                0.09953,                0.03092,                0.00828,                 2.7578,                 4.0915,                 3.2748,               0.001089,               0.001089,               0.001089
                      6,                 1.7066,                 2.7236,                 1.9807,                0.41059,                0.18155,                0.17333,                0.08503,                 2.1059,                 3.6756,                 2.7218,              0.0010835,              0.0010835,              0.0010835
                      7,                 1.7059,                 2.7726,                 2.0089,                0.16114,                0.29744,                 0.2008,                0.06367,                 2.1933,                 3.0351,                 2.7215,               0.001078,               0.001078,               0.001078
                      8,                 1.6582,                 2.7288,                 1.9583,                0.52684,                0.26629,                0.24901,                0.13159,                 2.0783,                 2.8845,                 2.6895,              0.0010725,              0.0010725,              0.0010725
                      9,                 1.6385,                 2.6299,                 1.9513,                0.66464,                0.26019,                0.29663,                0.13768,                 1.9697,                 2.7137,                 2.5323,               0.001067,               0.001067,               0.001067
                     10,                  1.604,                  2.579,                 1.9055,                0.67664,                0.27786,                0.28719,                0.12852,                 1.8816,                 2.8233,                 2.4201,              0.0010615,              0.0010615,              0.0010615
