               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              1.9172,              4.1596,              2.3544,             0.75525,             0.37806,             0.48732,             0.35445,                   0,                   0,                   0,            0.070084,            0.003324,            0.003324
                   1,              1.8295,              3.1314,              2.2514,             0.63473,             0.57847,             0.48214,             0.34352,                   0,                   0,                   0,            0.040051,           0.0066244,           0.0066244
                   2,               2.002,              3.2661,              2.3695,             0.61969,             0.31901,             0.44391,             0.31083,                   0,                   0,                   0,           0.0099851,           0.0098918,           0.0098918
                   3,              2.1724,              3.4974,              2.4787,             0.86488,             0.18056,             0.30334,             0.14613,                   0,                   0,                   0,           0.0098515,           0.0098515,           0.0098515
                   4,               2.261,              3.5767,              2.5789,             0.52942,             0.31091,             0.38268,             0.18368,                   0,                   0,                   0,           0.0098515,           0.0098515,           0.0098515
                   5,              2.2205,               3.526,              2.5818,              0.9609,             0.18056,             0.31863,             0.16214,                   0,                   0,                   0,            0.009802,            0.009802,            0.009802
                   6,              2.1905,              3.3927,              2.5258,             0.72009,             0.33521,             0.37124,              0.2184,                   0,                   0,                   0,           0.0097525,           0.0097525,           0.0097525
                   7,              2.1586,              3.3351,              2.5467,             0.50296,             0.40686,              0.4013,              0.2645,                   0,                   0,                   0,            0.009703,            0.009703,            0.009703
                   8,              2.1592,              3.3266,              2.5417,             0.59728,             0.36389,             0.41418,             0.26822,                   0,                   0,                   0,           0.0096535,           0.0096535,           0.0096535
                   9,              2.1271,              3.2618,              2.5064,             0.48975,             0.38678,             0.46216,             0.31439,                   0,                   0,                   0,            0.009604,            0.009604,            0.009604
                  10,              2.1092,              3.2583,              2.4965,             0.84161,             0.36748,             0.45447,             0.25467,                   0,                   0,                   0,           0.0095545,           0.0095545,           0.0095545
                  11,              2.0696,              3.2033,              2.4888,             0.69477,             0.41179,             0.46496,             0.25724,                   0,                   0,                   0,            0.009505,            0.009505,            0.009505
                  12,              2.0731,              3.1216,              2.4565,             0.62206,                0.45,             0.51596,             0.31183,                   0,                   0,                   0,           0.0094555,           0.0094555,           0.0094555
                  13,              2.0157,              3.0415,              2.4374,             0.53627,             0.52916,             0.52394,             0.31167,                   0,                   0,                   0,            0.009406,            0.009406,            0.009406
                  14,               2.023,              3.0187,               2.429,             0.69903,              0.3462,             0.50078,             0.30111,                   0,                   0,                   0,           0.0093565,           0.0093565,           0.0093565
                  15,               2.034,                3.09,              2.4622,             0.46442,             0.58155,              0.4656,             0.28206,                   0,                   0,                   0,            0.009307,            0.009307,            0.009307
                  16,              1.9906,              2.9991,              2.4087,             0.91692,              0.4173,             0.54675,             0.33999,                   0,                   0,                   0,           0.0092575,           0.0092575,           0.0092575
                  17,               1.973,              2.8713,              2.3782,             0.65797,             0.41528,             0.45658,             0.29379,                   0,                   0,                   0,            0.009208,            0.009208,            0.009208
                  18,              1.9534,              2.9643,              2.3872,             0.71571,             0.39257,             0.53112,             0.34247,                   0,                   0,                   0,           0.0091585,           0.0091585,           0.0091585
                  19,              1.9253,              2.8974,               2.367,             0.49191,              0.5521,             0.56543,              0.3506,                   0,                   0,                   0,            0.009109,            0.009109,            0.009109
                  20,              1.9551,              2.8257,              2.3809,             0.80898,             0.42649,             0.55473,             0.38204,                   0,                   0,                   0,           0.0090595,           0.0090595,           0.0090595
                  21,              1.9033,              2.8825,              2.3405,             0.77799,             0.46819,             0.59666,             0.38632,                   0,                   0,                   0,             0.00901,             0.00901,             0.00901
                  22,              1.9037,               2.768,              2.3546,             0.47075,              0.5625,             0.57795,             0.37812,                   0,                   0,                   0,           0.0089605,           0.0089605,           0.0089605
                  23,              1.8682,              2.7382,              2.3158,             0.85316,             0.48249,              0.6325,             0.39775,                   0,                   0,                   0,            0.008911,            0.008911,            0.008911
                  24,              1.8886,              2.6891,              2.3051,             0.75187,             0.58174,             0.56265,              0.3657,                   0,                   0,                   0,           0.0088615,           0.0088615,           0.0088615
                  25,              1.8709,              2.7315,              2.3024,             0.42592,             0.62931,             0.57951,              0.3842,                   0,                   0,                   0,            0.008812,            0.008812,            0.008812
                  26,              1.8776,              2.6992,              2.3085,              0.7307,             0.58218,             0.62293,             0.37895,                   0,                   0,                   0,           0.0087625,           0.0087625,           0.0087625
                  27,              1.8644,              2.5915,               2.289,             0.75175,               0.525,             0.56697,             0.37823,                   0,                   0,                   0,            0.008713,            0.008713,            0.008713
                  28,              1.8356,              2.6751,              2.2783,             0.88089,             0.41443,             0.56403,               0.363,                   0,                   0,                   0,           0.0086635,           0.0086635,           0.0086635
                  29,              1.8106,              2.5415,              2.2319,             0.64937,             0.67354,             0.65851,             0.39842,                   0,                   0,                   0,            0.008614,            0.008614,            0.008614
                  30,              1.8065,              2.5486,               2.255,             0.64178,             0.57643,             0.59747,             0.43462,                   0,                   0,                   0,           0.0085645,           0.0085645,           0.0085645
                  31,              1.8157,              2.5263,              2.2343,             0.71011,             0.58056,             0.63125,             0.39032,                   0,                   0,                   0,            0.008515,            0.008515,            0.008515
                  32,              1.8107,              2.5316,              2.2484,             0.84082,             0.52902,             0.64283,             0.37738,                   0,                   0,                   0,           0.0084655,           0.0084655,           0.0084655
                  33,              1.8044,                2.51,              2.2605,             0.62542,             0.53014,             0.58645,             0.37886,                   0,                   0,                   0,            0.008416,            0.008416,            0.008416
                  34,              1.7703,              2.4991,              2.2185,              0.8071,             0.58491,             0.65764,             0.39486,                   0,                   0,                   0,           0.0083665,           0.0083665,           0.0083665
                  35,              1.7504,              2.4575,              2.2166,             0.81148,             0.62012,             0.67515,             0.43865,                   0,                   0,                   0,            0.008317,            0.008317,            0.008317
                  36,              1.7566,              2.4327,               2.198,             0.87465,             0.52151,             0.63468,             0.43193,                   0,                   0,                   0,           0.0082675,           0.0082675,           0.0082675
                  37,              1.7625,              2.4148,              2.1893,              0.8522,              0.5367,             0.67423,             0.38037,                   0,                   0,                   0,            0.008218,            0.008218,            0.008218
