               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              1.8562,              3.4526,              2.3007,             0.56884,             0.60095,             0.62886,             0.35414,                   0,                   0,                   0,            0.070034,           0.0033295,           0.0033295
                   1,              1.8194,              2.7301,               2.252,             0.46396,             0.47142,             0.45684,             0.21855,                   0,                   0,                   0,                0.04,           0.0066283,           0.0066283
                   2,              1.9772,              2.9816,              2.4157,             0.33006,             0.36164,             0.30557,             0.12766,                   0,                   0,                   0,           0.0099305,           0.0098926,           0.0098926
                   3,              2.1566,              3.3362,              2.5631,             0.25652,             0.33849,              0.2437,             0.10623,                   0,                   0,                   0,           0.0098445,           0.0098445,           0.0098445
                   4,              2.0899,              3.3032,              2.5616,             0.40099,             0.33464,             0.36927,             0.17911,                   0,                   0,                   0,           0.0098445,           0.0098445,           0.0098445
                   5,              2.0846,              3.2251,              2.5426,               0.447,             0.37356,             0.36598,             0.16851,                   0,                   0,                   0,           0.0097927,           0.0097927,           0.0097927
                   6,              2.0321,              3.1447,              2.4994,              0.5134,             0.40558,             0.40425,             0.18564,                   0,                   0,                   0,           0.0097408,           0.0097408,           0.0097408
                   7,              1.9939,              3.0486,              2.4858,             0.38491,             0.41639,             0.41103,              0.1938,                   0,                   0,                   0,            0.009689,            0.009689,            0.009689
                   8,              1.9428,              3.0027,              2.4365,             0.62274,             0.47545,             0.52676,             0.25607,                   0,                   0,                   0,           0.0096372,           0.0096372,           0.0096372
                   9,              1.9563,              2.9188,              2.4245,             0.50657,             0.56966,             0.54169,             0.27588,                   0,                   0,                   0,           0.0095853,           0.0095853,           0.0095853
                  10,              1.9111,              2.8306,              2.3749,             0.45783,             0.51708,             0.51362,             0.25654,                   0,                   0,                   0,           0.0095335,           0.0095335,           0.0095335
                  11,              1.8804,              2.7533,              2.3448,             0.63196,             0.60495,             0.63568,             0.32386,                   0,                   0,                   0,           0.0094817,           0.0094817,           0.0094817
                  12,              1.8677,              2.7207,               2.326,             0.67516,             0.59686,              0.6232,             0.34083,                   0,                   0,                   0,           0.0094298,           0.0094298,           0.0094298
                  13,               1.847,              2.6528,              2.3243,              0.7548,             0.60464,             0.68574,             0.35642,                   0,                   0,                   0,            0.009378,            0.009378,            0.009378
                  14,              1.8165,              2.6521,              2.3096,             0.62295,             0.60356,             0.64725,             0.34003,                   0,                   0,                   0,           0.0093262,           0.0093262,           0.0093262
                  15,              1.7912,              2.5409,              2.2891,             0.60116,              0.6405,             0.63097,             0.33511,                   0,                   0,                   0,           0.0092743,           0.0092743,           0.0092743
                  16,              1.7954,              2.5672,              2.2849,             0.73327,             0.64892,             0.69549,             0.37722,                   0,                   0,                   0,           0.0092225,           0.0092225,           0.0092225
                  17,              1.7595,              2.4872,              2.2504,             0.68697,             0.62495,             0.65633,             0.35635,                   0,                   0,                   0,           0.0091707,           0.0091707,           0.0091707
                  18,              1.7414,              2.4496,              2.2366,             0.77767,             0.56887,             0.68641,             0.36387,                   0,                   0,                   0,           0.0091188,           0.0091188,           0.0091188
                  19,              1.7251,              2.3647,              2.2249,             0.70401,             0.71892,               0.751,             0.40298,                   0,                   0,                   0,            0.009067,            0.009067,            0.009067
                  20,              1.7254,              2.3429,              2.2285,             0.74223,             0.68732,             0.75633,             0.40086,                   0,                   0,                   0,           0.0090152,           0.0090152,           0.0090152
                  21,              1.7146,              2.3037,              2.2043,             0.84303,             0.73131,             0.78173,              0.4334,                   0,                   0,                   0,           0.0089634,           0.0089634,           0.0089634
                  22,              1.7119,              2.2522,              2.2031,             0.71374,             0.67633,              0.7046,             0.40265,                   0,                   0,                   0,           0.0089115,           0.0089115,           0.0089115
                  23,              1.6893,              2.2679,              2.1986,             0.79857,             0.66089,             0.74358,             0.41527,                   0,                   0,                   0,           0.0088597,           0.0088597,           0.0088597
                  24,              1.6882,              2.2419,              2.1856,             0.77857,             0.68552,             0.75769,             0.42284,                   0,                   0,                   0,           0.0088079,           0.0088079,           0.0088079
                  25,               1.664,              2.2223,              2.1814,             0.76952,             0.69153,             0.74598,             0.45082,                   0,                   0,                   0,            0.008756,            0.008756,            0.008756
                  26,               1.643,              2.1614,              2.1466,              0.7613,             0.69764,             0.76452,             0.42642,                   0,                   0,                   0,           0.0087042,           0.0087042,           0.0087042
                  27,              1.6468,              2.1643,              2.1507,              0.7029,             0.63698,             0.70789,             0.41995,                   0,                   0,                   0,           0.0086524,           0.0086524,           0.0086524
                  28,              1.6482,              2.1282,              2.1368,             0.82243,             0.68872,             0.78966,             0.47953,                   0,                   0,                   0,           0.0086005,           0.0086005,           0.0086005
                  29,              1.6114,              2.0983,              2.1136,              0.7934,             0.69461,             0.75613,             0.43621,                   0,                   0,                   0,           0.0085487,           0.0085487,           0.0085487
